"","sitename","date","pm25count","pm25","latitude","longitude"
"1","43. Rajshahi, Thakurmara2",2022-04-21 15:00:00,2,34.5,24.3955383,88.5699585
"2","43. Rajshahi, Thakurmara2",2022-04-21 16:00:00,NA,NA,NA,NA
"3","43. Rajshahi, Thakurmara2",2022-04-21 17:00:00,4,40.75,24.3955383,88.5699585
"4","43. Rajshahi, Thakurmara2",2022-04-21 18:00:00,4,37.5,24.3955383,88.5699585
"5","43. Rajshahi, Thakurmara2",2022-04-21 19:00:00,4,37.75,24.3955383,88.5699585
"6","43. Rajshahi, Thakurmara2",2022-04-21 20:00:00,4,36.75,24.3955383,88.5699585
"7","43. Rajshahi, Thakurmara2",2022-04-21 21:00:00,4,35.75,24.3955383,88.5699585
"8","43. Rajshahi, Thakurmara2",2022-04-21 22:00:00,4,34.75,24.3955383,88.5699585
"9","43. Rajshahi, Thakurmara2",2022-04-21 23:00:00,4,40.5,24.3955383,88.5699585
"10","43. Rajshahi, Thakurmara2",2022-04-22 00:00:00,4,42.5,24.3955383,88.5699585
"11","43. Rajshahi, Thakurmara2",2022-04-22 01:00:00,4,41.5,24.3955383,88.5699585
"12","43. Rajshahi, Thakurmara2",2022-04-22 02:00:00,4,39.5,24.3955383,88.5699585
"13","43. Rajshahi, Thakurmara2",2022-04-22 03:00:00,4,36.75,24.3955383,88.5699585
"14","43. Rajshahi, Thakurmara2",2022-04-22 04:00:00,4,33.75,24.3955383,88.5699585
"15","43. Rajshahi, Thakurmara2",2022-04-22 05:00:00,4,31.5,24.3955383,88.5699585
"16","43. Rajshahi, Thakurmara2",2022-04-22 06:00:00,4,30.5,24.3955383,88.5699585
"17","43. Rajshahi, Thakurmara2",2022-04-22 07:00:00,4,28.5,24.3955383,88.5699585
"18","43. Rajshahi, Thakurmara2",2022-04-22 08:00:00,4,25.75,24.3955383,88.5699585
"19","43. Rajshahi, Thakurmara2",2022-04-22 09:00:00,4,23,24.3955383,88.5699585
"20","43. Rajshahi, Thakurmara2",2022-04-22 10:00:00,4,20.5,24.3955383,88.5699585
"21","43. Rajshahi, Thakurmara2",2022-04-22 11:00:00,4,18.5,24.3955383,88.5699585
"22","43. Rajshahi, Thakurmara2",2022-04-22 12:00:00,4,17.5,24.3955383,88.5699585
"23","43. Rajshahi, Thakurmara2",2022-04-22 13:00:00,4,17.75,24.3955383,88.5699585
"24","43. Rajshahi, Thakurmara2",2022-04-22 14:00:00,4,18.75,24.3955383,88.5699585
"25","43. Rajshahi, Thakurmara2",2022-04-22 15:00:00,4,20,24.3955383,88.5699585
"26","43. Rajshahi, Thakurmara2",2022-04-22 16:00:00,4,21.5,24.3955383,88.5699585
"27","43. Rajshahi, Thakurmara2",2022-04-22 17:00:00,3,NA,24.3955383,88.5699585
"28","43. Rajshahi, Thakurmara2",2022-04-22 18:00:00,4,23.5,24.3955383,88.5699585
"29","43. Rajshahi, Thakurmara2",2022-04-22 19:00:00,4,25,24.3955383,88.5699585
"30","43. Rajshahi, Thakurmara2",2022-04-22 20:00:00,4,27,24.3955383,88.5699585
"31","43. Rajshahi, Thakurmara2",2022-04-22 21:00:00,4,27,24.3955383,88.5699585
"32","43. Rajshahi, Thakurmara2",2022-04-22 22:00:00,4,26.25,24.3955383,88.5699585
"33","43. Rajshahi, Thakurmara2",2022-04-22 23:00:00,4,26.25,24.3955383,88.5699585
"34","43. Rajshahi, Thakurmara2",2022-04-23 00:00:00,4,32.25,24.3955383,88.5699585
"35","43. Rajshahi, Thakurmara2",2022-04-23 01:00:00,4,43.25,24.3955383,88.5699585
"36","43. Rajshahi, Thakurmara2",2022-04-23 02:00:00,4,36.75,24.3955383,88.5699585
"37","43. Rajshahi, Thakurmara2",2022-04-23 03:00:00,4,35,24.3955383,88.5699585
