TBL Global,Variable,Value
BGN,Title,Inventory for dku
,Source,Duke Bluesky Sensors
,Author,bdefoy
,Date,2023-03-14 09:56:25
,Comment,Automatically generated by saq_inventory_tsdata.R
,InputFile1,11. July to dec 21 min.csv
,InputFile2,12. Jan to April 22 min.csv
,InputFile3,13. May to July 22 min.csv
,InputFile4,14. Aug to Sep 22 min.csv
EOT Global,InputFile5,15. Oct 22 to Jan 23 min.csv
,,,
TBL Sites,country,sitename,siteid,serial_number,plocation,latitude,longitude,is_indoors,nrecords,date_start,date_end,timezone,utc_offset,pm25_scale,pm25_offset
ATT Units,Name,Name,Name,Integer,Integer,degrees N,degrees E,True=inside,Number,Time (Etc/UTC),Time (Etc/UTC),IANA tzdata,hours,None,ug/m3
ATT Description,,Original Name from Research Group,Unique ID for Aqsebs,TSI Number,>1: New site location,,,,Number of records in input file,,,Olson Names,Offset at New Year,From dku_20230221_bluesky_harmonization_factors,Placeholder
ATT DisplayName,country (Name),sitename (Name),siteid (Name),serial_number (Integer),plocation (Integer),latitude (degrees N),longitude (degrees E),is_indoors (True=inside),nrecords (Number),date_start (Time (Etc/UTC)),date_end (Time (Etc/UTC)),timezone (IANA tzdata),utc_offset (hours),pm25_scale (None),pm25_offset (ug/m3)
BGN,Bangladesh,1. Siddeshwari,bgd_1_siddeshwari,81432124031,1,23.74354,90.40947,False,57634,2021-07-15 06:57:00,2023-01-31 23:46:00,Asia/Dhaka,6,0.96,0
,Bangladesh,2. Dhaka University,bgd_2_dhaka_u,81432124034,1,23.72820547,90.39852372,False,59555,2021-07-23 08:37:00,2023-01-31 23:50:00,Asia/Dhaka,6,0.99,0
,Bangladesh,3. Mohakhali,bgd_3_mohakhali,81432123012,1,23.77581,90.3966,False,57680,2021-07-28 06:20:00,2023-01-31 23:45:00,Asia/Dhaka,6,1.02,0
,Bangladesh,4. Basabo Kadamtala,bgd_4_basabo_kadamtala,81432123017,1,23.736038,90.437996,False,56048,2021-07-28 06:35:00,2023-01-31 23:58:00,Asia/Dhaka,6,1.07,0
,Bangladesh,5. Shimrail,bgd_5_shimrail,81432123032,1,23.70070641,90.50249746,False,57121,2021-07-28 06:45:00,2023-01-31 23:58:00,Asia/Dhaka,6,0.83,0
,Bangladesh,6. Mirpur Pallabi,bgd_6_mirpur_pallabi,81432124030,1,23.8232,90.35929,False,54489,2021-07-28 07:06:00,2023-01-31 23:54:00,Asia/Dhaka,6,1.13,0
,Bangladesh,7. South Nilkhet,bgd_7_south_nilkhet,81432130028,1,23.72951094,90.38810817,False,38979,2021-12-05 05:17:00,2023-01-31 23:45:00,Asia/Dhaka,6,0.79,0
,Bangladesh,8. Uttara Chandalvog,bgd_8_uttara_chandalvog,81432130017,1,23.87227,90.37244,False,30815,2021-12-05 05:28:00,2023-01-31 23:51:00,Asia/Dhaka,6,0.77,0
,Bangladesh,9. Matuail,bgd_9_matuail,81432130041,1,23.69351655,90.46730844,False,27896,2021-12-05 05:42:00,2022-11-07 14:17:00,Asia/Dhaka,6,1.04,0
,Bangladesh,10. Dholaipar,bgd_10_dholaipar,81432130036,1,23.70073734,90.43335436,False,39034,2021-12-05 05:44:00,2023-01-31 23:53:00,Asia/Dhaka,6,0.91,0
,Bangladesh,11. Cantonment Balurghat,bgd_11_cantonment_balurghat,81432130021,1,23.834905,90.388527,False,38443,2021-12-05 05:49:00,2023-01-31 23:56:00,Asia/Dhaka,6,1.01,0
,Bangladesh,12. Bashundhara RA,bgd_12_bashundhara_ra,81432130035,1,23.8173532,90.4253786,False,27231,2021-12-05 05:53:00,2023-01-31 16:47:00,Asia/Dhaka,6,0.99,0
,Bangladesh,13. Uttara sector 10,bgd_13_uttara_sector_10,81432130029,1,23.8803339,90.3881508,False,37635,2021-12-05 05:59:00,2023-01-31 23:45:00,Asia/Dhaka,6,0.92,0
,Bangladesh,14. Hemayatpur NAAFCO,bgd_14_hemayatpur_naafco,81432130033,1,23.7951568,90.2793403,False,35318,2021-12-05 06:04:00,2023-01-31 23:46:00,Asia/Dhaka,6,1.01,0
,Bangladesh,15. Mohammadpur,bgd_15_mohammadpur,81432130042,1,23.7554521,90.3592816,False,38318,2021-12-05 06:08:00,2023-01-31 23:52:00,Asia/Dhaka,6,1.04,0
,Bangladesh,16. Narayangonj Gognogor,bgd_16_narayangonj_gognogor,81432130014,1,23.59258046,90.50221399,False,39991,2021-12-05 06:13:00,2023-01-31 23:47:00,Asia/Dhaka,6,0.73,0
,Bangladesh,17. Mirpur Botanical,bgd_17_mirpur_botanical,81432130043,1,23.82199,90.34855,False,30525,2021-12-05 06:18:00,2023-01-31 23:55:00,Asia/Dhaka,6,1,0
,Bangladesh,18. North Badda,bgd_18_north_badda,81432130015,1,23.786668,90.424733,False,33622,2021-12-05 06:39:00,2023-01-31 23:51:00,Asia/Dhaka,6,1.02,0
,Bangladesh,20. Damaged,bgd_20_damaged,81432130019,1,23.72810377,90.39795968,False,23031,2021-12-05 06:39:00,2022-09-29 09:07:00,Asia/Dhaka,6,0.85,0
,Bangladesh,21. Jagannath University,bgd_21_jagannath_u,81432130025,1,23.708545,90.410324,False,40070,2021-12-05 06:39:00,2023-01-31 23:46:00,Asia/Dhaka,6,1.03,0
,Bangladesh,22. Uttar Khan,bgd_22_uttar_khan,81432130031,1,23.880623,90.442425,False,27479,2021-12-05 06:44:00,2023-01-29 17:07:00,Asia/Dhaka,6,0.98,0
,Bangladesh,23. Bhola Charfasson 1,bgd_23_bhola_charfasson_1,81432130011,1,22.22564,90.761154,False,191180,2021-12-05 06:47:00,2023-01-31 23:59:00,Asia/Dhaka,6,1.05,0
